,sale price,address,latitude,longitude,neighborhood,burough,zip code,gross sq feet,land sq feet
1,575000,"2039 EAST 68TH STREET, BERGEN BEACH, BROOKLYN, NEW YORK, NY, 11234",40.6194117,-73.9105052,BERGEN BEACH,BROOKLYN,11234,1944,2300
4,470000,"2746 FULTON STREET, CYPRESS HILLS, BROOKLYN, NEW YORK, NY, 11207",40.6776278,-73.8932126938647,CYPRESS HILLS,BROOKLYN,11207,1900,2500
6,810000,"33 ESCANABA AVENUE, GREAT KILLS, STATEN ISLAND, NEW YORK, NY, 10308",40.5490828,-74.1592778,GREAT KILLS,STATEN ISLAND,10308,3000,4500
8,1300000,"301 EVERGREEN AVENUE, BUSHWICK, BROOKLYN, NEW YORK, NY, 11221",40.6947925,-73.9245204005701,BUSHWICK,BROOKLYN,11221,1920,1600
12,1425000,"366 WEST 11TH   STREET, GREENWICH VILLAGE-WEST, MANHATTAN, NEW YORK, NY, 10014",40.734034,-73.99505,GREENWICH VILLAGE-WEST,MANHATTAN,10014, -  , -  
13,600000,"132-29 BLOSSOM AVENUE, FLUSHING-NORTH, QUEENS, NEW YORK, NY, 11355",40.752031,-73.8312977,FLUSHING-NORTH,QUEENS,11355, -  , -  
16,1660000,"309 EAST 49TH STREET, MIDTOWN EAST, MANHATTAN, NEW YORK, NY, 10017",40.7576083,-73.976936,MIDTOWN EAST,MANHATTAN,10017, -  , -  
20,6065280,"1077 NEW YORK AVENUE, FLATBUSH-EAST, BROOKLYN, NEW YORK, NY, 11203",40.64677695,-73.9459277994573,FLATBUSH-EAST,BROOKLYN,11203,22120,7900
24,872000,"550 VANDERBILT AVENUE, PROSPECT HEIGHTS, BROOKLYN, NEW YORK, NY, 11238",40.6803931,-73.9681304,PROSPECT HEIGHTS,BROOKLYN,11238,0,0
27,567000,"104-76 109TH STREET, RICHMOND HILL, QUEENS, NEW YORK, NY, 11419",40.681968,-73.8322501811224,RICHMOND HILL,QUEENS,11419,2112,2622
28,1225000,"306 LINDEN STREET, BUSHWICK, BROOKLYN, NEW YORK, NY, 11237",40.6983427,-73.9143119787032,BUSHWICK,BROOKLYN,11237,3021,1502
32,33900,"102 WEST 57TH STREET, MIDTOWN WEST, MANHATTAN, NEW YORK, NY, 10019",40.766287,-73.981848,MIDTOWN WEST,MANHATTAN,10019,112850,7532
33,909297,"1809 EMMONS AVENUE, SHEEPSHEAD BAY, BROOKLYN, NEW YORK, NY, 0",40.5840323,-73.9502102192455,SHEEPSHEAD BAY,BROOKLYN,0,0,0
