SALE PRICE,address,latitude,longitude,neighborhood,burough,zip code,GROSS SQUARE FEET,land sq feet
525000,"417 WEST 263RD STREET,BRONX,NY",40.91216970000001,-73.9005104,RIVERDALE,BRONX,10471,1344,5548
962000,"6200 TYNDALL AVENUE,BRONX,NY",40.91141665,-73.8998118,RIVERDALE,BRONX,10471,1850,5525
740000,"6142 DELAFIELD AVENUE,BRONX,NY",40.91114925,-73.9017223,RIVERDALE,BRONX,10471,2096,2415
720000,"6139 FIELDSTON ROAD,BRONX,NY",40.910947,-73.8994026,RIVERDALE,BRONX,10471,1800,1750
745000,"6138 TYNDALL AVENUE,BRONX,NY",40.91076665,-73.89997855,RIVERDALE,BRONX,10471,2056,2375
1470000,"6661 BROADWAY,BRONX,NY",40.9103556,-73.8968063,RIVERDALE,BRONX,10471,4750,5471
790000,"225 WEST 262ND STREET,BRONX,NY",40.9103435,-73.8971,RIVERDALE,BRONX,10471,2260,3337
1400000,"6024 HUXLEY AVENUE,BRONX,NY",40.9091941,-73.8976275,RIVERDALE,BRONX,10471,4022,15017
745000,"6036 FIELDSTON ROAD,BRONX,NY",40.9090277,-73.89951315,RIVERDALE,BRONX,10471,1887,2500
685000,"6032 LIEBIG AVENUE,BRONX,NY",40.9090019,-73.9014036,RIVERDALE,BRONX,10471,1672,2375
915000,"6035 SPENCER AVE,BRONX,NY",40.90879495,-73.89913362,RIVERDALE,BRONX,10471,2374,4750
765000,"6035 HUXLEY AVENUE,BRONX,NY",40.90860725,-73.89823156,RIVERDALE,BRONX,10471,1266,2625
695000,"6032 HUXLEY AVENUE,BRONX,NY",40.9084722,-73.89775941,RIVERDALE,BRONX,10471,1520,1750
602000,"6011 HUXLEY AVENUE,BRONX,NY",40.907985499999995,-73.8983324,RIVERDALE,BRONX,10471,1240,2879
987000,"5900 TYNDALL AVENUE,BRONX,NY",40.9069966,-73.90104009999999,RIVERDALE,BRONX,10471,2988,6650
450000,"4747 MATILDA AVENUE,BRONX,NY",40.90555975,-73.85139924,WAKEFIELD,BRONX,10470,1488,2400
2400000,"5475 PALISADE AVENUE,BRONX,NY",40.9055511,-73.91154187,RIVERDALE,BRONX,10471,2203,28616
1805000,"5700 MOSHOLU AVENUE,BRONX,NY",40.9053884,-73.9004351,RIVERDALE,BRONX,10471,3750,4875
350000,"742 EAST 242ND STREET,BRONX,NY",40.90516775,-73.84804270000001,WAKEFIELD,BRONX,10470,1152,2167
876000,"5749 FARADAY AVENUE,BRONX,NY",40.90499129999999,-73.89829349,RIVERDALE,BRONX,10471,1379,2500
1393499,"5454 PALISADE AVENUE,BRONX,NY",40.9048661,-73.9113328,RIVERDALE,BRONX,10471,3036,12941
733950,"5651 SYLVAN AVENUE,BRONX,NY",40.90456415,-73.89857819,RIVERDALE,BRONX,10471,1368,2500
816000,"5634 POST ROAD,BRONX,NY",40.9041839,-73.89715515,RIVERDALE,BRONX,10471,1728,2500
520000,"4618 HILL AVENUE,BRONX,NY",40.90414785,-73.84410638,WAKEFIELD,BRONX,10466,1344,3570
1100000,"4711 WHITE PLAINS ROAD,BRONX,NY",40.903864500000005,-73.85022729999999,WAKEFIELD,BRONX,10470,2508,3091
979000,"5497 FIELDSTON ROAD,BRONX,NY",40.9038387,-73.90076745,RIVERDALE,BRONX,10471,3224,6858
665000,"5611 POST ROAD,BRONX,NY",40.90354985,-73.89761490000001,RIVERDALE,BRONX,10471,1280,2500
420000,"914 CRANFORD AVENUE,BRONX,NY",40.90352625,-73.84351691,WAKEFIELD,BRONX,10466,1280,2500
475000,"4525 SETON AVENUE,BRONX,NY",40.90332165,-73.84230295,WAKEFIELD,BRONX,10466,1280,2625
569000,"4516 SETON AVENUE,BRONX,NY",40.90323455,-73.84179085,WAKEFIELD,BRONX,10466,1773,2500
2320000,"5294 SYCAMORE AVENUE,BRONX,NY",40.9029626,-73.91128258,RIVERDALE,BRONX,10471,2813,8400
1294000,"5450 POST ROAD,BRONX,NY",40.90251395,-73.89732102,RIVERDALE,BRONX,10471,3162,4800
2942500,"5253 SYCAMORE AVENUE,BRONX,NY",40.90240975,-73.9119949,RIVERDALE,BRONX,10471,3000,12200
738000,"374 WEST 255TH STREET,BRONX,NY",40.902185100000004,-73.90269036,RIVERDALE,BRONX,10471,1380,4632
1725000,"4600 WHITE PLAINS ROAD,BRONX,NY",40.902104,-73.851372,WAKEFIELD,BRONX,10470,1848,15387
