,addresses
0,"327 EAST 3 STREET,MANHATTAN,NY"
1,"327 EAST 3 STREET,MANHATTAN,NY"
2,"267 EAST 7 ST,MANHATTAN,NY"
3,"527 EAST 5 STREET,MANHATTAN,NY"
4,"735 EAST 9 STREET,MANHATTAN,NY"
5,"619 EAST 11 STREET,MANHATTAN,NY"
6,"155 WEST 18TH,MANHATTAN,NY"
7,"452 WEST 20TH,MANHATTAN,NY"
8,"405 WEST 21 STREET,MANHATTAN,NY"
9,"360 WEST 21ST,MANHATTAN,NY"
10,"360 W 21,MANHATTAN,NY"
11,"228 WEST 21 STREET,MANHATTAN,NY"
12,"261 W 22 ST,MANHATTAN,NY"
13,"520 WEST 23RD,MANHATTAN,NY"
14,"250 WEST 24TH,MANHATTAN,NY"
15,"241 WEST 23 STREET,MANHATTAN,NY"
16,"233 WEST 26,MANHATTAN,NY"
17,"77 SEVENTH AVENUE,MANHATTAN,NY"
18,"77 SEVENTH AVENUE,MANHATTAN,NY"
19,"77 SEVENTH AVENUE,MANHATTAN,NY"
20,"77 SEVENTH AVE,MANHATTAN,NY"
21,"77 SEVENTH AVENUE,MANHATTAN,NY"
22,"77 SEVENTH AVENUE,MANHATTAN,NY"
23,"77 SEVENTH AVENUE,MANHATTAN,NY"
24,"77 SEVENTH AVENUE,MANHATTAN,NY"
25,"77 SEVENTH AVENUE,MANHATTAN,NY"
26,"77 SEVENTH AVENUE,MANHATTAN,NY"
27,"77 SEVENTH AVENUE,MANHATTAN,NY"
28,"77 SEVENTH AVENUE,MANHATTAN,NY"
29,"575 SIXTH AVE,MANHATTAN,NY"
30,"575 SIXTH AVENUE,MANHATTAN,NY"
31,"165 WEST 20 ST,MANHATTAN,NY"
32,"775 SIXTH AVENUE,MANHATTAN,NY"
33,"775 AVENUE OF THE AMERIC,MANHATTAN,NY"
34,"100 ELEVENTH AVENUE,MANHATTAN,NY"
35,"100 ELEVENTH AVENUE,MANHATTAN,NY"
36,"505 WEST 19 STREET,MANHATTAN,NY"
37,"551 WEST 21 STREET,MANHATTAN,NY"
38,"555 WEST 23 STREET,MANHATTAN,NY"
